name_primary,resolved_wikidata_qid
Conjunto Rio Grande,
Aleen Aldas,
"Eddy Arnold, The Tennessee Plowboy and His Guitar",
Red Foley and the Cumberland Valley Boys,
"Margaret Whiting, Jimmy Wakely",
Margaret Whiting and Jimmy Wakely,
"Red Foley, Ernest Tubb",
Wilma Lee Cooper and Stoney Cooper,
Adam Wakefield,Q21891848
David Houston and Barbara Mandrell,
"Kitty Wells, Red Foley",
Lewis Pruitt,
Marshmello and Kane Brown,
"Red Sovine, Webb Pierce",
Simon Crum,Q322275
Tennessee Ernie,Q963827
Tex Williams and The Western Caravan,
Wilma Lee and Stoney Cooper,
Adrian Roland,Q48840749
Alan Riddle[1][2],
Andrews Sisters and Ernest Tubb,
Anita Carter Hank Snow,
"Artists of Then, Now & Forever",Q27032351
Bebe Rexha & Florida Georgia Line,
Betty Foley[1],
BigXthaPlug featuring Bailey Zimmerman,
Bill Leatherwood,
Bob Wills and Tommy Duncan,
"Bobby Bare and Bobby Bare, Jr.",
Brantley Gilbert and Lindsay Ell,
Bud Logan and Wilma Burgess,
Carly Pearce & Lee Brice,
Carly Pearce and Ashley McBryde,
Chris Young and Kane Brown,
Clyde Beavers,
Cody Johnson and Carrie Underwood,
Cole Swindell and Lainey Wilson,
David Lee Murphy & Kenny Chesney,
Delmore Brothers,Q1184543
"Diplo, Jessie Murph and Polo G",
"Eddy Arnold, Hugo Winterhalter",
Elle King & Miranda Lambert,
Elmer Snodgrass,
Ernest Tubb and Loretta Lynn,
Ernest Tubb and The Wilburn Brothers,
Faron Young and Margie Singleton,
Garth Brooks & Huey Lewis,
Garth Brooks and Blake Shelton,
Gene Autry and the Pinafores,
Gene Woods,
"Ginny Wright, Jim Reeves",
"Ginny Wright, Tom Tall",
"Goldie Hill, Justin Tubb",
Hoosier Hot Shots and Two Ton Baker,
Hoyt Axton and Renee Armand,
Jason Aldean & Carrie Underwood,
"Jean Shepard, Ferlin Husky",
Jim Brickman with Michelle Wright,
Jim Reeves and Dottie West,
Jimmie Allen & Brad Paisley,
Jimmy Newman,Q780720
Jimmy Smart,
Kane Brown & Blackbear,
Kane Brown & John Legend,
Keith Urban and Miranda Lambert,
Keith Whitley & Earl Thomas Conley,
Kenny Chesney and Tim McGraw,
Kitty Wells and Webb Pierce,
"Kitty Wells, Webb Pierce",
Koe Wetzel and Jessie Murph,
LaCosta,Q6461980
Laverne Downs,
Lee Greenwood & Suzy Bogguss,
Lil Nas X featuring Billy Ray Cyrus,
Lonnie Irving,
Louise Massey and the Westerners,
Luke Gordon,
"M. Lorrie, B. DeVal",
Mark O'Connor and the New Nashville Cats,
Mel Tillis and Sherry Bryce,
Moneybagg Yo featuring Morgan Wallen,
Moon Mullican and The Showboys,
Nelly & Florida Georgia Line,
Osborne Brothers and Red Allen,
Parmalee & Blanco Brown,
Pentatonix featuring Dolly Parton,
Pinetoppers,
RCA Victor,Q202585
Ray Godfrey,
Red & Betty Foley,
Red Ingle and The Natural Seven vocal by Cinderella G Stump,
Ted Self,
"Tennessee Ernie Ford, Kay Starr",
The Carlisles,Q861994
The Hoosier Hot Shots and Two Ton Baker,
Tim McGraw & Tyler Hubbard,
Tim McGraw and Faith Hill,
Webb Pierce and Kitty Wells,
Wilburn Brothers,Q2570196
Willie Nelson and Tracy Nelson,
Willis Brothers,Q7775006
