variable,coef_year,coef_decade,p_value,n_obs,r_squared
complexity,-.0012296150049701,-.01229615,0,27037,.043252464
repetition,.0006790981232375,.0067909812,0,27037,.0428304
melodicness,.0010685205468047,.010685205,0,27037,.019292003
energy,.000177945219442,.0017794522,7.8018630e-10,27037,.0014032746
finger_movement,.0042031396856349,.042031396,0,27037,.019607097
disruption,.0006506918152822,.006506918,1.1432382e-24,27037,.0040410268
root_stability,-.0004560648260751,-.0045606485,1.7942891e-23,27037,.0038654525
intra_root_variation,-.0006371174761725,-.0063711749,2.2639573e-12,27037,.0016865614
harmonic_palette,-.0004516688365357,-.0045166882,.00002196969,27037,.00069151615
loop_strength,.0075792096636414,.075792097,0,27037,.031398099
structure_variation,.0050031357825776,.050031357,0,27037,.032485124
playability,.0012296150049701,.01229615,0,27037,.043252464
harmonic_softness,-.0015961230415997,-.01596123,0,27037,.030530196
bpm,-.0862957556280587,-.86295754,.060251046,3803,.0018897183
billboard_country_year_end_flag,.0007631459838937,.0076314597,5.2575504e-28,27042,.0043606646
release_upload_gap,-.963609853385994,-9.6360989,0,27042,.92342347
